from,to,label
LFF,RFF,1
LFF,LFS,3
LFF,RFS,4
LFF,LFS,5
LFF,RFS,6
LFF,LFF,7
LFF,LFS,8
LFF,RFS,9
LFF,RFF,10
LFF,RFF,11
LFF,RFS,12
LFF,RFF,13
LFF,RFF,14
LFF,RFF,15
LFF,RFF,16
LFF,RFF,17
LFF,RFF,18
LFF,RFS,19
LFF,LFS,20
LFF,RFF,21
LFF,RFS,22
LFF,RFS,23
LFF,LFS,24
LFF,RFF,25
LFF,LFS,26
LFF,RFS,27
LFF,LFS,28
LFF,RFS,29
LFF,RFS,30
LFF,RFS,31
LFF,RFS,32
LFF,RFF,33
LFF,RFF,34
LFF,LFS,35
LFF,RFF,36
LFF,RFF,37
LFF,LFS,38
LFF,RFF,39
LFF,RFF,40
RFF,LFF,41
RFF,LFF,42
RFF,LFF,43
RFF,LFF,44
RFF,LFF,45
RFF,RFF,46
RFF,RFS,47
RFF,RFS,48
RFF,LFF,49
RFF,LFF,50
RFF,LFF,51
RFF,RFS,52
RFF,RFS,53
RFF,RFF,54
RFF,LFF,55
RFF,RFF,56
RFF,RFS,57
RFF,RFS,58
RFF,LFF,59
RFF,LFS,60
RFF,RFF,61
RFF,LFF,62
RFF,RFS,63
RFF,RFS,64
RFF,LFF,65
RFF,LFF,66
RFF,LFF,67
RFF,LFF,68
RFF,LFF,69
RFF,LFF,70
RFF,RFF,71
RFF,LFF,72
LFS,RFS,73
LFS,LFF,74
LFS,RFF,75
LFS,LFF,76
LFS,LFF,77
LFS,LFS,78
LFS,RFS,79
LFS,LFF,80
LFS,RFS,81
LFS,LFF,82
LFS,LFF,83
LFS,LFS,84
LFS,RFF,85
LFS,RFF,86
LFS,LFF,87
LFS,LFF,88
LFS,LFS,89
LFS,LFF,90
LFS,RFS,91
LFS,LFF,92
LFS,RFF,93
LFS,RFF,94
LFS,RFF,95
LFS,LFF,96
LFS,LFF,97
LFS,LFF,98
LFS,LFF,99
LFS,RFF,100
LFS,LFF,101
LFS,LFF,102
RFS,LFS,103
RFS,LFF,104
RFS,RFF,105
RFS,LFS,106
RFS,RFF,107
RFS,LFF,108
RFS,LFF,109
RFS,RFS,110
RFS,RFF,111
RFS,LFF,112
RFS,LFF,113
RFS,RFF,114
RFS,LFF,115
RFS,LFF,116
RFS,LFF,117
RFS,LFF,118
