from,to,label
Neutral,TGR,1
Neutral,CRA,2
Neutral,SNA,3
Neutral,DRU,4
Neutral,PHX,5
Neutral,TOR,6
Neutral,TOR,7
Neutral,TOR,8
Neutral,Grounded,9
Neutral,Grounded,10
Neutral,Grounded,11
Neutral,Grounded,12
Neutral,BT,13
Neutral,PAN,14
Neutral,SNA,15
Neutral,TGR,16
Neutral,SNA,17
Neutral,DRU,21
Neutral,DRU,22
Neutral,DRA,23
Neutral,BT,24
Neutral,CRA,25
Neutral,CRA,26
Neutral,CRA,27
Neutral,CRA,28
Neutral,BT,29
Neutral,CRA,30
Neutral,DRU,31
BT,RLX,32
BT,RLX,33
BT,RLX,34
RLX,SNA,35
Neutral,RLX,36
BT,DRU,37
BT,BT,38
BT,RLX,39
BT,BT,40
BT,BT,41
BT,BT,42
BT,SNA,43
BT,SNA,44
BT,DRU,45
BT,DRU,46
BT,RLX,47
BT,Grounded,48
Neutral,PHX,49
PHX,DRU,50
PHX,DRU,51
PHX,RLX,52
PHX,RLX,53
PHX,PHX,54
PHX,BT,55
PHX,SNA,56
PHX,DRU,57
PHX,SNA,58
Neutral,SNA,59
Neutral,SNA,60
SNA,DGN,61
SNA,PAN,62
SNA,SNA,63
SNA,SNA,64
SNA,SNA,65
SNA,PAN,66
SNA,SNA,67
SNA,DGN,68
SNA,DGN,69
SNA,PAN,70
SNA,RLX,71
SNA,Grounded,72
SNA,TGR,73
Neutral,DRG,74
DRG,TGR,75
DRG,SNA,76
DRG,RLX,77
DRG,TGR,78
DRG,CRA,79
DRG,TGR,80
DRG,PAN,81
PAN,SNA,82
PAN,CRA,83
PAN,PAN,84
PAN,PHX,85
Neutral,TGR,86
TGR,SNA,87
TGR,DRA,88
TGR,SNA,89
Neutral,CRA,90
CRA,PAN,91
CRA,SNA,92
