from,to,label
NEUTRAL,DCK,1
NEUTRAL,DCK,2
NEUTRAL,SWY,3
NEUTRAL,FLK,4
NEUTRAL,FLK,5
NEUTRAL,FLK,6
NEUTRAL,FLK,7
NEUTRAL,FLK,8
NEUTRAL,FLK,9
NEUTRAL,FLK,10
NEUTRAL,FLK,11
NEUTRAL,FLK,12
NEUTRAL,FLK,13
NEUTRAL,FLK,14
NEUTRAL,FLK,15
NEUTRAL,FLK,16
NEUTRAL,PAB,17
NEUTRAL,PAB,18
NEUTRAL,FLK,19
NEUTRAL,FLK,20
NEUTRAL,PAB,21
NEUTRAL,PAB,22
NEUTRAL,LWV,23
LWV,FLK,24
LWV,FLK,25
LWV,FLK,26
NEUTRAL,RWV,27
LWV,FLK,28
RWV,RWV,29
NEUTRAL,ALB,30
NEUTRAL,PAB,31
NEUTRAL,PAB,32
NEUTRAL,DCK,33
DCK,ExtDCK,34
NEUTRAL,PAB,35
PAB,PAB,36
PAB,PAB,37
PAB,PAB,38
PAB,PAB,39
PAB,PAB,40
PAB,PAB,41
PAB,PAB,42
PAB,PAB,43
PAB,PAB,44
PAB,PAB,45
PAB,FLK,46
PAB,SWY,47
NEUTRAL,SWY,48
NEUTRAL,FLK,49
NEUTRAL,ALB,50
FLK,FLK,51
FLK,FLK,52
FLK,FLK,53
FLK,FLK,54
FLK,FLK,55
FLK,FLK,56
FLK,PAB,57
