from,to,label
Neutral,SCR,1
Neutral,SCR,2
Neutral,TRT,3
Neutral,MNT,4
Neutral,MNT,5
Neutral,SCR,6
Neutral,SCR,7
Neutral,SCR,8
Neutral,SCR,9
Neutral,MNT,10
Neutral,TRT,11
Neutral,MNT,12
Neutral,SCR,13
Neutral,MNT,14
Neutral,MNT,15
Neutral,MNT,16
Neutral,TRT,17
Neutral,MNT,18
Neutral,SCR,19
Neutral,MNT,20
Neutral,TRT,21
Neutral,MNT,23
Neutral,SCR,24
Neutral,MNT,25
Neutral,TRT,26
TRT,TRT,27
TRT,TRT,28
TRT,MNT,29
TRT,MNT,30
TRT,TRT,31
TRT,MNT,32
Neutral,SCR,33
SCR,SCR,34
SCR,TRT,35
SCR,SCR,36
SCR,SCR,37
SCR,SCR,38
SCR,MNT,39
SCR,SCR,40
SCR,SCR,41
SCR,TRT,42
SCR,MNT,43
SCR,MNT,44
SCR,MNT,45
SCR,SCR,46
SCR,SCR,47
SCR,SCR,48
SCR,MNT,49
SCR,MNT,50
Neutral,MNT,51
MNT,SCR,52
MNT,MNT,53
MNT,MNT,54
MNT,MNT,55
MNT,MNT,56
MNT,MNT,57
MNT,MNT,58
MNT,MNT,59
MNT,TRT,60
MNT,MNT,61
MNT,MNT,62
MNT,MNT,63
MNT,MNT,64
MNT,TRT,65
MNT,MNT,66
MNT,MNT,67
MNT,MNT,68
MNT,MNT,69
MNT,MNT,70
MNT,MNT,71
